,district,ginivalue
648,hamirpur,0.24
649,mau,0.28
650,banda,0.22
651,kaushambi,0.27
652,bhadohi,0.24
653,kannauj,0.25
654,uttarpradesh,0.31
655,chamoli,0.2
656,rudraprayag,0.19
657,tehrigarhwal,0.2
658,pithoragarh,0.25
659,bageshwar,0.26
660,uttarkashi,0.21
661,dehradun,0.28
662,haridwar,0.48
663,paurigarhwal,0.26
664,almora,0.27
665,champawat,0.29
666,udamsinghnagar,0.3
667,nainital,0.33
668,uttarakhand,0.35
669,kolkata,0.4
670,jalpaiguri,0.22
671,darjeeling,0.28
672,northtwentyfour,0.38
673,parganashaora,0.31
674,medinipureast,0.32
675,maldah,0.26
676,24paraganassouth,0.29
677,coochbehar,0.2
678,medinipurwest,0.28
679,birbhum,0.24
680,murshidabad,0.22
681,bankura,0.25
682,purbabardhaman,0.31
683,paschimbardhaman,0.31
684,dinajpurdakshin,0.24
685,hooghly,0.28
686,nadia,0.25
687,dinajpuruttar,0.28
688,purulia,0.23
689,westbengal,0.33
690,jangoan,
691,kumurambheemasifabad,
692,mancherial,
693,jayashankarbhupalapally,
694,peddapalli,
695,siddipet,
696,suryapet,
697,mahabubabad,
698,nirmal,
699,srikakulam,
700,medchalmalkajgiri,
701,narayanpet,
702,sangareddy,
703,bhadradrikothagudem,
704,yadadribhuvanagiri,
705,warangalurban,
706,warangalrural,
707,sambhal,
708,kamareddy,
709,rajannasircilla,
710,jogulambagadwal,
711,reasiãƒâ€šã‚â\xa0,
712,surajpur,
713,howrah,
714,alipurduar,
715,jagitial,
716,kasganj,
717,hanumakonda,
718,mahabubnagar,
719,vikarabad,
720,ayodhya,
721,dholpur,
722,westnimar,
723,24paraganasnorth,
724,wanaparthy,
725,shamli,
726,jhargram,
